,label,review
5829,1,"does what a fine documentary does best : it extends a warm invitation into an unfamiliar world , then illuminates it fully and allows the larger implications of the journey to sink in unobtrusively . "
3209,0,it drowns in sap . 
4323,0,the scriptwriters are no less a menace to society than the film's characters . 
281,0,"there's an excellent 90-minute film here ; unfortunately , it runs for 170 . "
100,0,"narratively , trouble every day is a plodding mess . "
4289,0,the whole thing plays like a tired tyco ad . 
5430,1,"chicago is sophisticated , brash , sardonic , completely joyful in its execution . "
3501,0,"like an afterschool special with costumes by gianni versace , mad love looks better than it feels . "
3153,0,"ponderous , plodding soap opera disguised as a feature film . "
9374,1,"more concerned with overall feelings , broader ideas , and open-ended questions than concrete story and definitive answers , soderbergh's solaris is a gorgeous and deceptively minimalist cinematic tone poem . "
6539,1,"nine queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head . "
2275,0,"lacks heart , depth and , most of all , purpose . "
6021,1,just another fish-out-of-water story that barely stays afloat . 
6641,1,"a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution . "
4570,0,"ill-considered , unholy hokum . "
9420,1,worth a salute just for trying to be more complex than your average film . 
1842,0,"its story may be a thousand years old , but why did it have to seem like it took another thousand to tell it to us ? "
3011,0,"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up . "
7048,1,the casting of von sydow . . . is itself intacto's luckiest stroke . 
1046,0,one of those strained caper movies that's hardly any fun to watch and begins to vaporize from your memory minutes after it ends . 
2828,0,has all the poignancy of a hallmark card and all the comedy of a gallagher stand-up act . 
7141,1,"whenever you think you've figured out late marriage , it throws you for a loop . "
5132,0,"talkiness isn't necessarily bad , but the dialogue frequently misses the mark . "
7500,1,"a plethora of engaging diatribes on the meaning of 'home , ' delivered in grand passion by the members of the various households . "
3277,0,this is an action movie with an action icon who's been all but decommissioned . 
5188,0,"i suspect that you'll be as bored watching morvern callar as the characters are in it . if you go , pack your knitting needles . "
7804,1,worth a look as a curiosity . 
8759,1,brave and sweetly rendered love story . 
10389,1,"goofy , nutty , consistently funny . and educational ! "
9372,1,"skins has a desolate air , but eyre , a native american raised by white parents , manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor . "
8631,1,"it's not going to be everyone's bag of popcorn , but it definitely gives you something to chew on . "
5289,0,"though there are many tense scenes in trapped , they prove more distressing than suspenseful . "
8338,1,one thing you have to give them credit for : the message of the movie is consistent with the messages espoused in the company's previous video work . 
253,0,"unintelligible , poorly acted , brain-slappingly bad , harvard man is ludicrous enough that it could become a cult classic . "
3609,0,"nobody seems to have cared much about any aspect of it , from its cheesy screenplay to the grayish quality of its lighting to its last-minute , haphazard theatrical release . "
33,0,another useless recycling of a brutal mid-'70s american sports movie . 
147,0,"plodding , peevish and gimmicky . "
4350,0,"a very slow , uneventful ride around a pretty tattered old carousel . "
7456,1,a polished and vastly entertaining caper film that puts the sting back into the con . 
10427,1,a genuine mind-bender . 
2571,0,"shouldn't have been allowed to use the word "" new "" in its title , because there's not an original character , siuation or joke in the entire movie . "
8147,1,salma goes native and she's never been better in this colorful bio-pic of a mexican icon . 
4534,0,"despite some comic sparks , welcome to collinwood never catches fire . "
913,0,"yes , i suppose it's lovely that cal works out his issues with his dad and comes to terms with his picture-perfect life -- but world traveler gave me no reason to care , so i didn't . "
3456,0,"make no mistake , ivans xtc . is a mess . "
5937,1,bow's best moments are when he's getting busy on the basketball court because that's when he really scores . 
5096,0,does what should seem impossible : it makes serial killer jeffrey dahmer boring . 
8936,1,one of the best movies of the year . 
9866,1,"in its own floundering way , it gets to you . just like igby . "
6834,1,a delightful coming-of-age story . 
8408,1,"it's a lovely , sad dance highlighted by kwan's unique directing style . "
7814,1,"it's truly awful and heartbreaking subject matter , but one whose lessons are well worth revisiting as many times as possible . "
7711,1," . . . with the gifted pearce on hand to keep things on semi-stable ground dramatically , this retooled machine is ultimately effective enough at achieving the modest , crowd-pleasing goals it sets for itself . "
4726,0,the movie does such an excellent job of critiquing itself at every faltering half-step of its development that criticizing feels more like commiserating . 
9313,1,"with a large cast representing a broad cross-section , tavernier's film bounds along with the rat-a-tat energy of "" his girl friday , "" maintaining a light touch while tackling serious themes . "
712,0,the film ultimately offers nothing more than people in an urban jungle needing other people to survive . . . 
6642,1,seldom has a movie so closely matched the spirit of a man and his work . 
8054,1,"compared to his series of spectacular belly flops both on and off the screen , runteldat is something of a triumph . "
8646,1,boasts enough funny dialogue and sharp characterizations to be mildly amusing . 
6063,1,"a bold and subversive film that cuts across the grain of what is popular and powerful in this high-tech age , speaking its truths with spellbinding imagery and the entrancing music of philip glass . "
6290,1,"an enjoyable film for the family , amusing and cute for both adults and kids . "
2378,0,"when the plot kicks in , the film loses credibility . "
4252,0,"it's mildly sentimental , unabashedly consumerist . . . studiously inoffensive and completely disposable . "
9173,1,"there's very little sense to what's going on here , but the makers serve up the cliches with considerable dash . "
3467,0,"a sterling film - a cross between boys don't cry , deliverance , and ode to billy joe - lies somewhere in the story of matthew shepard , but that film is yet to be made . "
4190,0,some body smacks of exhibitionism more than it does cathartic truth telling . 
